"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"198",93.4,0.34,50,0.01,42.7,"saddle",10,193.205503633421
"205",93.4,0.34,50,0.01,47,"saddle",10,194.058491807814
"63",93.4,0.34,50,0.01,49.4,"saddle",9,194.560151819484
"73",93.4,0.34,50,0.01,47.5,"saddle",9,194.161693754791
"85",93.4,0.34,50,0.01,38.7,"saddle",9,192.482621966091
"91",93.4,0.34,50,0.01,38.5,"saddle",9,192.448683591979
"94",93.4,0.34,50,0.01,39.4,"saddle",9,192.603197223341
"95",93.4,0.34,50,0.01,38.2,"saddle",9,192.398215130492
"101",93.4,0.34,50,0.01,40.3,"saddle",9,192.762139449063
"124",93.4,0.34,50,0.01,39.7,"saddle",9,192.655700394308
"138",93.4,0.34,50,0.01,42.5,"saddle",9,193.167554510951
"154",93.4,0.34,50,0.01,43.2,"saddle",9,193.301115795887
"127",93.4,0.34,50,0.01,40.9,"saddle",8,192.870418972809
"129",93.4,0.34,50,0.01,39.9,"saddle",8,192.690970451328
"194",93.4,0.34,50,0.01,45.7,"saddle",8,193.793758702972
"3",115.8,0.01,2.8,1.48,2.8,"saddle",7,1523.00989438104
"58",93.4,0.34,50,0.01,38.1,"saddle",7,192.381511129741
"61",93.4,0.34,50,0.01,39.1,"saddle",7,192.551185981394
"81",93.4,0.34,50,0.01,37.9,"saddle",7,192.3482839811
"89",93.4,0.34,50,0.01,37.8,"saddle",7,192.331761717549
"126",93.4,0.34,50,0.01,39.5,"saddle",7,192.620644159984
"152",93.4,0.34,50,0.01,41.2,"saddle",7,192.925223446178
"203",93.4,0.34,50,0.01,43,"saddle",7,193.262745823653
"29",93.4,0.34,50,0.01,47.1,"saddle",6,194.079073226865
"87",93.4,0.34,50,0.01,38,"saddle",6,192.364867266364
"98",93.4,0.34,50,0.01,41.1,"saddle",6,192.906907035084
"208",93.4,0.34,50,0.01,46.6,"saddle",6,193.976468695513
"257",93.4,0.34,50,0.01,47.3,"saddle",6,194.120325029518
"230",93.4,0.34,50,0.01,46.9,"saddle",5,194.037940385881
"237",93.4,0.34,50,0.01,47.2,"saddle",5,194.099684385967
"4",116.5,3.66,1.3,5,1.9,"minimum",4,1487.30047266974
"10",115.8,0.01,2.7,1.48,2.8,"saddle",4,1523.02577346314
